Time[s]	Pressure[Mpa]
0	0
0.01	668791.72
0.02	1034214
0.03	1172109.2
0.04	3123326.28
0.05	3488748.56
0.06	3619749
0.07	3716275.64
0.08	3826591.8
0.09	3923118.44
0.1	4033434.6
0.11	4109276.96
0.12	4150645.52
0.13	4219593.12
0.14	4274751.2
0.15	4309225
0.16	4343698.8
0.17	4385067.36
0.18	4467804.48
0.19	4612594.44
0.2	4702226.32
0.21	4736700.12
0.22	4791858.2
0.23	4847016.28
0.24	4867700.56
0.25	4902174.36
0.26	4943542.92
0.27	4950437.68
0.28	4984911.48
0.29	4998701
0.3	5040069.56
0.31	5040069.56
0.32	5060753.84
0.33	5074543.36
0.34	5088332.88
0.35	5102122.4
0.36	5129701.44
0.37	5143490.96
0.38	5115911.92
0.39	5088332.88
0.4	5109017.16
0.41	5074543.36
0.42	5081438.12
0.43	5088332.88
0.44	5074543.36
0.45	5067648.6
0.46	5067648.6
0.47	5033174.8
0.48	5033174.8
0.49	5012490.52
0.5	4978016.72
0.51	4978016.72
0.52	4984911.48
0.53	4950437.68
0.54	4922858.64
0.55	4895279.6
0.56	4819437.24
0.57	4778068.68
0.58	4702226.32
0.59	4667752.52
0.6	4647068.24
0.61	4598804.92
0.62	4557436.36
0.63	4502278.28
0.64	4447120.2
0.65	4412646.4
0.66	4378172.6
0.67	4323014.52
0.68	4274751.2
0.69	4205803.6
0.7	4143750.76
0.71	4081697.92
0.72	4012750.32
0.73	3950697.48
0.74	3902434.16
0.75	3854170.84
0.76	3819697.04
0.77	3771433.72
0.78	3702486.12
0.79	3612854.24
0.8	3509432.84
0.81	3412906.2
0.82	3309484.8
0.83	3254326.72
0.84	3178484.36
0.85	3088852.48
0.86	2882009.68
0.87	2413166
0.88	2178744.16
0.89	1971901.36
0.9	1765058.56
0.91	1578900.04
0.92	1365162.48
0.93	1179003.96
0.94	999740.2
0.95	820476.44
0.96	655002.2
0.97	496422.72
0.98	365422.28
0.99	268895.64
1	186158.52
1.01	137895.2
1.02	103421.4
1.03	89631.88
1.04	0

