Time(s),Chamber Pressure(MPa)
0,4.15765
0.001,4.15765
0.002,4.15764
0.003,4.15763
0.004,4.15762
0.005,4.1576
0.006,4.15759
0.007,4.15756
0.008,4.15754
0.009,4.15751
0.01,4.15747
0.011,4.15744
0.012,4.1574
0.013,4.15735
0.014,4.15731
0.015,4.15726
0.016,4.1572
0.017,4.15715
0.018,4.15709
0.019,4.15702
0.02,4.15695
0.021,4.15688
0.022,4.15681
0.023,4.15673
0.024,4.15665
0.025,4.15656
0.026,4.15648
0.027,4.15638
0.028,4.15629
0.029,4.15619
0.03,4.15609
0.031,4.15598
0.032,4.15587
0.033,4.15576
0.034,4.15564
0.035,4.15553
0.036,4.1554
0.037,4.15528
0.038,4.15515
0.039,4.15501
0.04,4.15488
0.041,4.15474
0.042,4.15459
0.043,4.15444
0.044,4.15429
0.045,4.15414
0.046,4.15398
0.047,4.15382
0.048,4.15366
0.049,4.15349
0.05,4.15332
0.051,4.15314
0.052,4.15296
0.053,4.15278
0.054,4.1526
0.055,4.15241
0.056,4.15222
0.057,4.15202
0.058,4.15182
0.059,4.15162
0.06,4.15141
0.061,4.1512
0.062,4.15099
0.063,4.15078
0.064,4.15056
0.065,4.15033
0.066,4.15011
0.067,4.14988
0.068,4.14964
0.069,4.14941
0.07,4.14917
0.071,4.14892
0.072,4.14868
0.073,4.14842
0.074,4.14817
0.075,4.14791
0.076,4.14765
0.077,4.14739
0.078,4.14712
0.079,4.14685
0.08,4.14657
0.081,4.1463
0.082,4.14601
0.083,4.14573
0.084,4.14544
0.085,4.14515
0.086,4.14485
0.087,4.14456
0.088,4.14425
0.089,4.14395
0.09,4.14364
0.091,4.14333
0.092,4.14301
0.093,4.14269
0.094,4.14237
0.095,4.14204
0.096,4.14171
0.097,4.14138
0.098,4.14104
0.099,4.1407
0.1,4.14036
0.101,4.14001
0.102,4.13966
0.103,4.13931
0.104,4.13895
0.105,4.13859
0.106,4.13823
0.107,4.13786
0.108,4.13749
0.109,4.13712
0.11,4.13674
0.111,4.13636
0.112,4.13598
0.113,4.13559
0.114,4.1352
0.115,4.1348
0.116,4.13441
0.117,4.13401
0.118,4.1336
0.119,4.13319
0.12,4.13278
0.121,4.13237
0.122,4.13195
0.123,4.13153
0.124,4.1311
0.125,4.13068
0.126,4.13024
0.127,4.12981
0.128,4.12937
0.129,4.12893
0.13,4.12848
0.131,4.12804
0.132,4.12758
0.133,4.12713
0.134,4.12667
0.135,4.12621
0.136,4.12574
0.137,4.12527
0.138,4.1248
0.139,4.12433
0.14,4.12385
0.141,4.12337
0.142,4.12288
0.143,4.12239
0.144,4.1219
0.145,4.1214
0.146,4.1209
0.147,4.1204
0.148,4.1199
0.149,4.11939
0.15,4.11888
0.151,4.11836
0.152,4.11784
0.153,4.11732
0.154,4.11679
0.155,4.11626
0.156,4.11573
0.157,4.11519
0.158,4.11466
0.159,4.11411
0.16,4.11357
0.161,4.11302
0.162,4.11247
0.163,4.11191
0.164,4.11135
0.165,4.11079
0.166,4.11022
0.167,4.10965
0.168,4.10908
0.169,4.10851
0.17,4.10793
0.171,4.10734
0.172,4.10676
0.173,4.10617
0.174,4.10558
0.175,4.10498
0.176,4.10438
0.177,4.10378
0.178,4.10318
0.179,4.10257
0.18,4.10195
0.181,4.10134
0.182,4.10072
0.183,4.1001
0.184,4.09947
0.185,4.09885
0.186,4.09821
0.187,4.09758
0.188,4.09694
0.189,4.0963
0.19,4.09565
0.191,4.095
0.192,4.09435
0.193,4.0937
0.194,4.09304
0.195,4.09238
0.196,4.09171
0.197,4.09105
0.198,4.09038
0.199,4.0897
0.2,4.08902
0.201,4.08834
0.202,4.08766
0.203,4.08697
0.204,4.08628
0.205,4.08559
0.206,4.08489
0.207,4.08419
0.208,4.08348
0.209,4.08278
0.21,4.08207
0.211,4.08135
0.212,4.08064
0.213,4.07992
0.214,4.07919
0.215,4.07847
0.216,4.07774
0.217,4.07701
0.218,4.07627
0.219,4.07553
0.22,4.07479
0.221,4.07404
0.222,4.07329
0.223,4.07254
0.224,4.07179
0.225,4.07103
0.226,4.07027
0.227,4.0695
0.228,4.06873
0.229,4.06796
0.23,4.06719
0.231,4.06641
0.232,4.06563
0.233,4.06484
0.234,4.06406
0.235,4.06327
0.236,4.06247
0.237,4.06168
0.238,4.06088
0.239,4.06007
0.24,4.05927
0.241,4.05846
0.242,4.05765
0.243,4.05683
0.244,4.05601
0.245,4.05519
0.246,4.05436
0.247,4.05353
0.248,4.0527
0.249,4.05187
0.25,4.05103
0.251,4.05019
0.252,4.04934
0.253,4.0485
0.254,4.04765
0.255,4.04679
0.256,4.04594
0.257,4.04508
0.258,4.04421
0.259,4.04335
0.26,4.04248
0.261,4.04161
0.262,4.04073
0.263,4.03985
0.264,4.03897
0.265,4.03809
0.266,4.0372
0.267,4.03631
0.268,4.03541
0.269,4.03451
0.27,4.03361
0.271,4.03271
0.272,4.0318
0.273,4.03089
0.274,4.02998
0.275,4.02907
0.276,4.02815
0.277,4.02723
0.278,4.0263
0.279,4.02537
0.28,4.02444
0.281,4.02351
0.282,4.02257
0.283,4.02163
0.284,4.02069
0.285,4.01974
0.286,4.01879
0.287,4.01784
0.288,4.01688
0.289,4.01592
0.29,4.01496
0.291,4.014
0.292,4.01303
0.293,4.01206
0.294,4.01108
0.295,4.01011
0.296,4.00913
0.297,4.00814
0.298,4.00716
0.299,4.00617
0.3,4.00518
0.301,4.00418
0.302,4.00318
0.303,4.00218
0.304,4.00118
0.305,4.00017
0.306,3.99916
0.307,3.99815
0.308,3.99713
0.309,3.99612
0.31,3.99509
0.311,3.99407
0.312,3.99304
0.313,3.99201
0.314,3.99098
0.315,3.98994
0.316,3.9889
0.317,3.98786
0.318,3.98681
0.319,3.98576
0.32,3.98471
0.321,3.98366
0.322,3.9826
0.323,3.98154
0.324,3.98047
0.325,3.97941
0.326,3.97834
0.327,3.97727
0.328,3.97619
0.329,3.97511
0.33,3.97403
0.331,3.97295
0.332,3.97186
0.333,3.97077
0.334,3.96968
0.335,3.96858
0.336,3.96749
0.337,3.96638
0.338,3.96528
0.339,3.96417
0.34,3.96306
0.341,3.96195
0.342,3.96083
0.343,3.95972
0.344,3.95859
0.345,3.95747
0.346,3.95634
0.347,3.95521
0.348,3.95408
0.349,3.95294
0.35,3.9518
0.351,3.95066
0.352,3.94952
0.353,3.94837
0.354,3.94722
0.355,3.94607
0.356,3.94491
0.357,3.94375
0.358,3.94259
0.359,3.94143
0.36,3.94026
0.361,3.93909
0.362,3.93792
0.363,3.93674
0.364,3.93556
0.365,3.93438
0.366,3.9332
0.367,3.93201
0.368,3.93082
0.369,3.92963
0.37,3.92843
0.371,3.92724
0.372,3.92603
0.373,3.92483
0.374,3.92362
0.375,3.92242
0.376,3.9212
0.377,3.91999
0.378,3.91877
0.379,3.91755
0.38,3.91633
0.381,3.9151
0.382,3.91387
0.383,3.91264
0.384,3.91141
0.385,3.91017
0.386,3.90893
0.387,3.90769
0.388,3.90645
0.389,3.9052
0.39,3.90395
0.391,3.90269
0.392,3.90144
0.393,3.90018
0.394,3.89892
0.395,3.89765
0.396,3.89639
0.397,3.89512
0.398,3.89385
0.399,3.89257
0.4,3.89129
0.401,3.89001
0.402,3.88873
0.403,3.88745
0.404,3.88616
0.405,3.88487
0.406,3.88357
0.407,3.88228
0.408,3.88098
0.409,3.87968
0.41,3.87837
0.411,3.87707
0.412,3.87576
0.413,3.87445
0.414,3.87313
0.415,3.87181
0.416,3.87049
0.417,3.86917
0.418,3.86785
0.419,3.86652
0.42,3.86519
0.421,3.86385
0.422,3.86252
0.423,3.86118
0.424,3.85984
0.425,3.8585
0.426,3.85715
0.427,3.8558
0.428,3.85445
0.429,3.8531
0.43,3.85174
0.431,3.85038
0.432,3.84902
0.433,3.84766
0.434,3.84629
0.435,3.84492
0.436,3.84355
0.437,3.84218
0.438,3.8408
0.439,3.83942
0.44,3.83804
0.441,3.83665
0.442,3.83527
0.443,3.83388
0.444,3.83248
0.445,3.83109
0.446,3.82969
0.447,3.82829
0.448,3.82689
0.449,3.82549
0.45,3.82408
0.451,3.82267
0.452,3.82126
0.453,3.81984
0.454,3.81843
0.455,3.81701
0.456,3.81559
0.457,3.81416
0.458,3.81273
0.459,3.81131
0.46,3.80987
0.461,3.80844
0.462,3.807
0.463,3.80556
0.464,3.80412
0.465,3.80268
0.466,3.80123
0.467,3.79978
0.468,3.79833
0.469,3.79688
0.47,3.79542
0.471,3.79396
0.472,3.7925
0.473,3.79225
0.474,3.79156
0.475,3.79087
