Time(s),Chamber Pressure(MPa)
0,4.15765
0.014,4.15731
0.028,4.15629
0.042,4.15459
0.056,4.15222
0.07,4.14917
0.084,4.14544
0.098,4.14104
0.112,4.13598
0.126,4.13024
0.14,4.12385
0.154,4.11679
0.168,4.10908
0.182,4.10072
0.196,4.09171
0.21,4.08207
0.224,4.07179
0.238,4.06088
0.252,4.04934
0.266,4.0372
0.28,4.02444
0.294,4.01108
0.308,3.99713
0.322,3.9826
0.336,3.96749
0.35,3.9518
0.364,3.93556
0.378,3.91877
0.392,3.90144
0.406,3.88357
0.42,3.86519
0.434,3.84629
0.448,3.82689
0.462,3.807
0.476,3.79018
0.49,3.78037
0.504,3.77028
0.518,3.75991
0.532,3.74927
0.546,3.73835
0.56,3.72715
0.574,3.71568
0.588,3.70393
0.602,3.6919
0.616,3.6796
0.63,3.66702
0.644,3.65416
0.658,3.64102
0.672,3.62761
0.686,3.61392
0.7,3.59995
0.714,3.5857
0.728,3.57118
0.742,3.55637
0.756,3.54129
0.77,3.52593
0.784,3.5103
0.798,3.49438
0.812,3.47818
0.826,3.46171
0.84,3.44496
0.854,3.42792
0.868,3.41061
0.882,3.39302
0.896,3.37515
0.91,3.357
0.924,3.33857
0.938,3.31986
0.952,3.30087
0.966,3.28159
0.98,3.26204
0.994,3.24221
1.008,3.22209
1.022,3.2017
1.036,3.18102
1.05,3.16006
1.064,3.13882
1.078,3.1173
1.092,3.09549
1.106,3.0734
1.12,3.05103
1.134,3.02838
1.148,3.00544
1.162,2.98222
1.176,2.95872
1.19,2.93493
1.204,2.91086
1.218,2.8865
1.232,2.86185
1.246,2.83693
1.26,2.81171
1.274,2.78621
1.288,0
