Tempo [s],Empuxo [N]
0,0.4
0.05,0.37
0.1,0.36
0.15,0.38
0.2,0.37
0.26,0.33
0.31,0.36
0.36,0.38
0.41,0.35
0.46,0.36
0.51,0.37
0.56,0.33
0.62,0.37
0.67,0.35
0.72,0.39
0.77,0.32
0.82,0.34
0.88,0.33
0.92,0.36
0.97,0.35
1.03,0.44
1.08,1.16
1.13,1.82
1.18,2.14
1.23,2.81
1.29,3.27
1.34,4.17
1.39,4.93
1.44,7.08
1.49,9.04
1.54,11.63
1.59,14.77
1.65,18.81
1.7,24.51
1.75,33.07
1.8,62.84
1.85,87.48
1.91,111.64
1.95,137.82
2.01,160.32
2.06,181.12
2.11,202.94
2.16,213.38
2.21,225.57
2.26,229.9
2.32,227.11
2.37,222.4
2.42,223.82
2.47,213.72
2.53,208.89
2.57,204.53
2.62,192.93
2.68,188.97
2.73,180.63
2.78,165.55
2.83,149.57
2.88,142.2
3.01,118.74
3.05,102.94
3.1,92.8
3.22,33.47
3.27,33.77
3.32,25.98
3.44,4.02
3.49,3.35
3.54,2.69
3.59,2.49
3.64,2.17
3.7,1.93
3.75,1.83
3.8,1.6
3.85,1.48
3.9,1.33
3.95,1.34
4.01,1.39
4.06,1.33
4.11,1.3
4.16,1.23
4.21,1.28
4.26,1.36
4.31,1.33
4.36,1.21
4.42,1.21
4.47,1.33
4.52,1.31
4.57,1.25
4.63,1.23
4.67,1.22
4.73,1.27
4.78,1.21
4.83,1.17
4.88,1.14
4.93,1.2
4.98,1.21
5.04,1.13
5.09,1.01
5.14,0.98
5.19,1.08
5.24,1.08
5.29,1.07
5.34,1.03
5.4,0.99
5.45,1
5.5,0.95
5.55,0.9
5.6,0.86
5.66,0.89
5.7,0.9
5.76,0.9
5.81,0.82
5.86,0.8
5.91,0.87
5.96,0.85
6.01,0.77
6.07,0.78
6.12,0.83
6.17,0.76
6.22,0.8
6.28,0.71
6.32,0.73
6.38,0.75
6.43,0.75
6.48,0.74
6.53,0.74
6.58,0.68
6.63,0.7
6.69,0.7
6.74,0.71
6.79,0.68
6.84,0.7
6.89,0.7
6.94,0.69
6.99,0.66
7.05,0.66
7.1,0.67
7.15,0.7
7.2,0.67
7.25,0.68
7.31,0.68
7.36,0.7
7.41,0.66
7.46,0.67
7.51,0.63
7.56,0.72
7.61,0.69
7.67,0.64
7.72,0.6
7.77,0.67
7.82,0.66
7.87,0.68
7.93,0.63
7.97,0.62
8.02,0.57
8.08,0.61
8.13,0.62
8.18,0.63
8.23,0.61
8.28,0.55
8.34,0.66
8.39,0.62
8.44,0.57
8.49,0.63
8.54,0.62
8.59,0.63
8.64,0.59
8.7,0.6
8.75,0.6
8.8,0.64
8.85,0.6
8.9,0.53
8.96,0.58
9,0.61
9.06,0.54
9.11,0.6
9.16,0.54
9.21,0.56
9.26,0.55
9.31,0.53
9.37,0.52
9.42,0.52
9.47,0.55
9.52,0.56
9.58,0.5
9.62,0.49
9.67,0.52
9.73,0.55
9.78,0.52
9.83,0.49
9.88,0.49
9.93,0.51
9.99,0.49
10.03,0.5
10.09,0.54
10.14,0.46
10.19,0.49
10.24,0.5
10.29,0.43
10.34,0.46
10.4,0.49
10.45,0.46
10.5,0.48
10.55,0.47
10.61,0.47
10.65,0.48
10.7,0.44
10.76,0.46
10.81,0.45
10.86,0.5
10.91,0.51
10.96,0.49
11.02,0.44
11.07,0.51
11.12,0.48
11.17,0.44
11.22,0.46
11.27,0.43
11.33,0.45
11.38,0.47
11.43,0.46
11.48,0.47
11.53,0.45
11.58,0.46
11.64,0.46
11.69,0.41
11.74,0.43
11.79,0.47
11.84,0.47
11.89,0.47
11.94,0.5
11.99,0.47
12.05,0.45
12.1,0.46
12.15,0.47
12.2,0.5
12.25,0.44
12.31,0.46
12.36,0.48
12.41,0.43
12.46,0.47
12.51,0.48
12.56,0.46
12.61,0.46
12.67,0.42
12.72,0.49
12.77,0.45
12.82,0.47
12.87,0.44
12.92,0.42
12.97,0.45
13.03,0.47
13.08,0.45
13.13,0.46
13.18,0.45
13.23,0.49
13.29,0.44
13.34,0.46
13.39,0.41
13.44,0.45
13.49,0.45
13.54,0.48
13.59,0.44
13.64,0.43
13.7,0.45
13.75,0.43
13.8,0.44
13.85,0.47
13.91,0.43
13.95,0.46
14.01,0.46
14.06,0.44
14.11,0.44
14.16,0.45
14.21,0.43
14.26,0.45
14.32,0.44
14.37,0.46
14.42,0.4
14.47,0.41
14.53,0.45
14.57,0.44
14.63,0.45
14.68,0.44
14.73,0.48
14.78,0.48
14.83,0.42
14.88,0.45
14.94,0.41
14.99,0.45
15.04,0.43
15.09,0.45
15.14,0.43
15.19,0.43
15.24,0.46
15.3,0.46
15.35,0.44
15.4,0.41
15.45,0.47
15.5,0.42
15.56,0.42
15.61,0.33
15.66,0.41
15.71,0.44
15.76,0.43
15.81,0.41
15.86,0.34
15.92,0.39
15.97,0.4
16.02,0.4
16.07,0.42
16.12,0.44
16.18,0.44
16.22,0.46
16.28,0.43
16.33,0.48
16.38,0.43
16.43,0.4
16.48,0.4
16.53,0.43
16.59,0.4
16.64,0.49
16.69,0.38
16.74,0.4
16.79,0.39
16.84,0.4
16.89,0.4
16.95,0.4
17,0.43
17.05,0.43
17.1,0.4
17.15,0.41
17.21,0.38
17.25,0.42
17.31,0.42
17.36,0.4
17.41,0.4
17.46,0.4
17.51,0.41
17.56,0.39
17.62,0.37
17.67,0.43
17.72,0.35
