Tempo [s],Tempo/2 [s],Empuxo [N],,,Fcalc,,,Dt [m],At [m²],P1 abs[Pa],P1[Pa],P1[MPa],"P2,P3",k
0.331,0.1655,0.76,0,0,10.17433,,,0.01254,0.000123505,145325,44000,0.0440,101325,1.4
0.446,0.223,0.75,0.1,0.0434125,10.17433,,,,,145325,44000,0.0440,,
0.56,0.28,0.76,0.1,0.043035,13.68004213,,,,,167325,66000,0.0660,,
0.668,0.334,0.78,0.1,0.04158,17.1320906,,,,,189325,88000,0.0880,,
0.74,0.37,2.09,0.1,0.05166,13.68004213,,,,,167325,66000,0.0660,,
0.849,0.4245,12.1,0.8,0.3866775,32.78568503,,,,,288325,187000,0.1870,,
0.895,0.4475,12.1,0.6,0.2783,32.78568503,,,,,288325,187000,0.1870,,
0.959,0.4795,24.87,1.2,0.59152,54.35265987,,,,,420325,319000,0.3190,,
1.05,0.525,35.6,2.8,1.3756925,63.54512265,,,,,475325,374000,0.3740,,
1.126,0.563,35.6,2.7,1.3528,63.54512265,,,,,475325,374000,0.3740,,
1.259,0.6295,71.59,7.1,3.5640675,99.29914088,,,,,684325,583000,0.5830,,
1.327,0.6635,71.59,4.9,2.43406,99.29914088,,,,,684325,583000,0.5830,,
1.485,0.7425,183.83,20.2,10.08909,223.4065749,,,,,1377325,1276000,1.2760,,
1.56,0.78,200.54,14.4,7.2069375,255.766727,,,,,1553325,1452000,1.4520,,
1.648,0.824,224.49,18.7,9.35066,284.2768715,,,,,1707325,1606000,1.6060,,
1.938,0.969,230.57,66,32.99185,278.1534516,,,,,1674325,1573000,1.5730,,
2.238,1.119,240.23,70.6,35.31,282.2349085,,,,,1696325,1595000,1.5950,,
2.551,1.2755,237.18,74.7,37.3573325,282.2349085,,,,,1696325,1595000,1.5950,,
3.001,1.5005,237.18,106.7,53.3655,282.2349085,,,,,1696325,1595000,1.5950,,
3.301,1.6505,222.61,69,34.48425,267.9645464,,,,,1619325,1518000,1.5180,,
3.595,1.7975,207.76,63.3,31.632195,257.7974443,,,,,1564325,1463000,1.4630,,
3.922,1.961,207.76,67.9,33.96876,257.7974443,,,,,1564325,1463000,1.4630,,
4.25,2.125,176.59,63,31.5167,215.3579135,,,,,1333325,1232000,1.2320,,
4.691,2.3455,176.59,77.9,38.938095,215.3579135,,,,,1333325,1232000,1.2320,,
4.973,2.4865,71.09,34.9,17.46144,108.8822033,,,,,739325,638000,0.6380,,
5.299,2.6495,19.66,14.8,7.396125,43.47356608,,,,,354325,253000,0.2530,,
5.62,2.81,19.66,6.3,3.15543,43.47356608,,,,,354325,253000,0.2530,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,It [Ns],m prop [kg],g [m/s²],W prop [N],Isp [s],,,
,,,,,,,798.2,0.385,9.80665,3.77556025,211.3995863,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
It [Ns],m prop [kg],g [m/s²],W prop [N],Isp [s],,,,,,,,,,
798.2,0.385,9.80665,3.77556025,211.3995863,,,,,,,,,,
,,,,,,,,,,,,,,
It /2[Ns],,,,Isp/2 [s],,,,,,,,,,
394.38717,,,,104.4579199,,,,,,,,,,
