T[s],Empuxo [N],Pressao [MPa],,,,,,,,,,,,,,
0,0.74,0,,0,,0,0.74,,,,,,,,,
0.1,0.73,0,,0.0735,,0.1,0.73,,,,,,,,,
0.2,0.73,0,,0.073,,0.2,0.73,,,,,,,,,
0.3,0.76,0.044,,0.0745,,0.3,0.76,,,,,,,,,
0.4,0.75,0.044,,0.0755,,0.4,0.75,,,,,,,,,
0.5,0.76,0.066,,0.0755,,0.5,0.76,,,,,,,,,
0.6,0.78,0.088,,0.077,,0.6,0.78,,,,,,,,,
0.7,2.09,0.066,,0.1435,,0.7,2.09,,,,,,,,,
0.8,12.1,0.187,,0.7095,,0.8,12.1,,,,,,,,,
0.9,12.1,0.187,,1.21,,0.9,12.1,,,,,,,,,
1,24.87,0.319,,1.8485,,1,24.87,,,,,,,,,
1.1,35.6,0.374,,3.0235,,1.1,35.6,,,,,,,,,
1.2,35.6,0.374,,3.56,,1.2,35.6,,,,,,,,,
1.3,71.59,0.583,,5.3595,,1.3,71.59,,,,,,,,,
1.4,71.59,0.583,,7.159,,1.4,71.59,,,,,,,,,
1.5,183.83,1.276,,12.771,,1.5,183.83,,,,,,0.17234,,,
1.6,200.54,1.452,,19.2185,,1.6,200.54,,,,,,,,,
1.7,224.49,1.606,,21.2515,,1.7,224.49,,,,,,,,,
1.8,230.57,1.573,,22.753,,1.8,230.57,,48.34,17.44,64.2,,A,V,rho,
1.9,240.23,1.595,,23.54,,1.9,240.23,,4.834,1.744,6.42,,15.96401878,102.4890005,1.681546303,0.890517457
2,237.18,1.595,,23.8705,,2,237.18,,,,,,,,,
2.1,237.18,1.595,,23.718,,2.1,237.18,,,,,,,,,
2.2,222.61,1.518,,22.9895,,2.2,222.61,,,,,,,,,
2.3,207.76,1.463,,21.5185,,2.3,207.76,,,,,,,,,
2.4,207.76,1.463,,20.776,,2.4,207.76,,,,,,,,,
2.5,176.59,1.232,,19.2175,,2.5,176.59,,,,,,,,,
2.6,176.59,1.232,,17.659,,2.6,176.59,,,,,,,,,
2.7,71.09,0.638,,12.384,,2.7,71.09,,,,,,,,,
2.8,19.66,0.253,,4.5375,,2.8,19.66,,,,,,,,,
2.9,19.66,0.253,,1.966,,2.9,19.66,,,,,,,,,
3,4.63,0.099,,1.2145,,3,4.63,,,,,,,,,
3.1,3.08,0.044,,0.3855,,3.1,3.08,,,,,,,,,
3.2,3.08,0.044,,0.308,,3.2,3.08,,,,,,,,,
3.3,2.61,0,,0.2845,,3.3,2.61,,,,,,,,,
3.4,2.61,0,,0.261,,3.4,2.61,,,,,,,,,
3.5,2.58,0,,0.2595,,3.5,2.58,,,,,,,,,
3.6,2.46,0.033,,0.252,,3.6,2.46,,,,,,,,,
3.7,1.56,0.044,,0.201,,3.7,1.56,,,,,,,,,
3.8,1.13,0,,0.1345,,3.8,1.13,,,,,,,,,
3.9,0.96,0.033,,0.1045,,3.9,0.96,,,,,,,,,
4,0.83,0.044,,0.0895,,4,0.83,,,,,,,,,
4.1,0.83,0.044,,0.083,,4.1,0.83,,,,,,,,,
4.2,0.82,0,,0.0825,,4.2,0.82,,,,,,,,,
,,,,295.293,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,293.571,,,,,,,,,,,,
