Tempo [s],Empuxo [N],,,,,,
0.331,0.76,0.0,,,,,
0.446,0.75,0.1,,,,,
0.56,0.76,0.1,,,,,
0.668,0.78,0.1,,,,,
0.74,2.09,0.1,,,,,
0.849,12.1,0.8,,,,,
0.895,12.1,0.6,,,,,
0.959,24.87,1.2,,,,,
1.05,35.6,2.8,,,,,
1.126,35.6,2.7,,,,,
1.259,71.59,7.1,,,,,
1.327,71.59,4.9,,,,,
1.485,183.83,20.2,,,,,
1.56,200.54,14.4,,,,,
1.648,224.49,18.7,,,,,
1.938,230.57,66.0,,,,,
2.238,240.23,70.6,,,,,
2.551,237.18,74.7,,,,,
3.001,237.18,106.7,,,,,
3.301,222.61,69.0,,,,,
3.595,207.76,63.3,,,,,
3.922,207.76,67.9,,,,,
4.25,176.59,63.0,,,,,
4.691,176.59,77.9,,,,,
4.973,71.09,34.9,,,,,
5.299,19.66,14.8,,,,,
5.62,19.66,6.3,,,,,
5.94,4.63,3.9,,,,,
6.221,3.08,1.1,,,,,
6.542,3.08,1.0,,,,,
6.825,2.61,0.8,,,,,
7.137,2.61,0.8,,,,,
7.298,2.58,0.4,,,,,
7.608,2.46,0.8,,,,,
7.748,1.56,0.3,,,,,
7.872,1.13,0.2,,,,,
8.018,0.96,0.2,It [Ns],m prop [kg],g [m/s²],W prop [N],Isp [s]
,,,798.2,0.385,9.80665,3.77556025,211.3995863
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
