Tempo [s],Pressao [bar],Empuxo [N]
144.54,0.0,0.4
144.59,0.0,0.37
144.64,0.0,0.36
144.69,0.0,0.38
144.74,0.0,0.37
144.8,0.0,0.33
144.85,0.0,0.36
144.9,0.0,0.38
144.95,0.0,0.35
145.0,0.0,0.36
145.05,0.0,0.37
145.1,0.0,0.33
145.16,0.0,0.37
145.21,0.0,0.35
145.26,0.0,0.39
145.31,0.0,0.32
145.36,0.0,0.34
145.42,0.0,0.33
145.46,0.0,0.36
145.51,0.0,0.35
145.57,0.0,0.44
145.62,0.0,1.16
145.67,0.1,1.82
145.72,0.0,2.14
145.77,0.0,2.81
145.83,0.2,3.27
145.88,0.1,4.17
145.93,0.2,4.93
145.98,0.49,7.08
146.03,0.29,9.04
146.08,0.2,11.63
146.13,0.98,14.77
146.19,1.17,18.81
146.24,1.96,24.51
146.29,1.86,33.07
146.34,3.81,62.84
146.39,5.67,87.48
146.45,7.33,111.64
146.49,8.6,137.82
146.55,10.07,160.32
146.6,10.95,181.12
146.65,12.41,202.94
146.7,12.61,213.38
146.75,13.29,225.57
146.8,13.78,229.9
146.86,13.2,227.11
146.91,12.71,222.4
146.96,12.81,223.82
147.01,12.61,213.72
147.07,12.41,208.89
147.11,11.83,204.53
147.16,10.85,192.93
147.22,11.34,188.97
147.27,10.56,180.63
147.32,9.68,165.55
147.37,8.9,149.57
147.42,8.6,142.2
147.55,6.74,118.74
147.59,6.45,102.94
147.64,5.96,92.8
147.76,1.47,33.47
147.81,2.15,33.77
147.86,0.98,25.98
147.98,0.1,4.02
148.03,0.0,3.35
148.08,0.0,2.69
148.13,0.0,2.49
148.18,0.0,2.17
148.24,0.0,1.93
148.29,0.0,1.83
148.34,0.0,1.6
148.39,0.0,1.48
148.44,0.0,1.33
148.49,0.0,1.34
148.55,0.0,1.39
148.6,0.0,1.33
148.65,0.0,1.3
148.7,0.0,1.23
148.75,0.0,1.28
148.8,0.0,1.36
148.85,0.0,1.33
148.9,0.0,1.21
148.96,0.0,1.21
149.01,0.0,1.33
149.06,0.0,1.31
149.11,0.0,1.25
149.17,0.0,1.23
149.21,0.0,1.22
149.27,0.0,1.27
149.32,0.0,1.21
149.37,0.0,1.17
149.42,0.0,1.14
149.47,0.0,1.2
149.52,0.0,1.21
149.58,0.0,1.13
149.63,0.0,1.01
149.68,0.0,0.98
149.73,0.0,1.08
149.78,0.0,1.08
149.83,0.0,1.07
149.88,0.0,1.03
149.94,0.0,0.99
149.99,0.0,1.0
150.04,0.0,0.95
150.09,0.0,0.9
150.14,0.0,0.86
150.2,0.0,0.89
150.24,0.0,0.9
150.3,0.0,0.9
150.35,0.0,0.82
150.4,0.0,0.8
150.45,0.0,0.87
150.5,0.0,0.85
150.55,0.0,0.77
150.61,0.0,0.78
150.66,0.0,0.83
150.71,0.0,0.76
150.76,0.0,0.8
150.82,0.0,0.71
150.86,0.0,0.73
150.92,0.0,0.75
150.97,0.0,0.75
151.02,0.0,0.74
151.07,0.0,0.74
151.12,0.0,0.68
151.17,0.0,0.7
151.23,0.0,0.7
151.28,0.0,0.71
151.33,0.0,0.68
151.38,0.0,0.7
151.43,0.0,0.7
151.48,0.0,0.69
151.53,0.0,0.66
151.59,0.0,0.66
151.64,0.0,0.67
151.69,0.0,0.7
151.74,0.0,0.67
151.79,0.0,0.68
151.85,0.0,0.68
151.9,0.0,0.7
151.95,0.0,0.66
152.0,0.0,0.67
152.05,0.0,0.63
152.1,0.0,0.72
152.15,0.0,0.69
152.21,0.0,0.64
152.26,0.0,0.6
152.31,0.0,0.67
