Tempo [s],Pressao [MPa]
0,0.0225
0.05,0.01125
0.1,0.0225
0.15,0.055125
0.2,0.032625
0.25,0.0225
0.3,0.11025
0.36,0.131625
0.41,0.2205
0.46,0.20925
0.51,0.428625
0.56,0.637875
0.62,0.824625
0.66,0.9675
0.72,1.132875
0.77,1.231875
0.82,1.396125
0.87,1.418625
0.92,1.495125
0.97,1.55025
1.03,1.485
1.08,1.429875
1.13,1.441125
1.18,1.418625
1.24,1.396125
1.28,1.330875
1.33,1.220625
1.39,1.27575
1.44,1.188
1.49,1.089
1.54,1.00125
1.59,0.9675
1.72,0.75825
1.76,0.725625
1.81,0.6705
1.93,0.165375
1.98,0.241875
2.03,0.11025
2.15,0.01125
