Hora,Temp. 1 [C],Temp. 2 [C],Temp. 3 [C],Pressao [bar],Empuxo [N]
15:09:10.863,0.0,18.5,18.75,0.0,0.74
15:09:11.008,0.0,18.5,18.75,0.0,0.73
15:09:11.107,0.0,19.25,19.0,0.0,0.73
15:09:11.194,0.0,19.25,19.0,0.44,0.76
15:09:11.309,0.0,19.25,19.0,0.44,0.75
15:09:11.423,0.0,19.25,19.0,0.66,0.76
15:09:11.531,0.0,19.25,19.0,0.88,0.78
15:09:11.603,0.0,19.25,19.0,0.66,2.09
15:09:11.712,0.0,19.25,19.0,1.87,12.1
15:09:11.758,0.0,19.25,19.25,1.87,12.1
15:09:11.822,0.0,19.25,19.25,3.19,24.87
15:09:11.913,0.0,19.25,19.25,3.74,35.6
15:09:11.989,0.0,18.75,19.0,3.74,35.6
15:09:12.122,0.0,18.75,19.0,5.83,71.59
15:09:12.190,0.0,19.0,18.75,5.83,71.59
15:09:12.348,0.0,19.0,18.75,12.76,183.83
15:09:12.423,0.0,19.0,18.75,14.52,200.54
15:09:12.511,0.0,19.0,18.75,16.06,224.49
15:09:12.801,0.0,19.0,18.75,15.73,230.57
15:09:13.101,0.0,19.0,18.75,15.95,240.23
15:09:13.414,0.0,19.0,18.75,15.95,237.18
15:09:13.864,0.0,19.25,19.0,15.95,237.18
15:09:14.164,0.0,19.25,19.0,15.18,222.61
15:09:14.458,0.0,19.25,19.0,14.63,207.76
15:09:14.785,0.0,19.0,19.0,14.63,207.76
15:09:15.113,0.0,19.0,19.0,12.32,176.59
15:09:15.554,0.0,19.0,19.0,12.32,176.59
15:09:15.836,0.0,19.0,19.0,6.38,71.09
15:09:16.162,0.0,19.0,19.0,2.53,19.66
15:09:16.483,0.0,19.0,19.0,2.53,19.66
15:09:16.803,0.0,19.0,19.0,0.99,4.63
15:09:17.084,0.0,19.0,19.0,0.44,3.08
15:09:17.405,0.0,19.25,19.0,0.44,3.08
15:09:17.688,0.0,19.25,19.0,0.0,2.61
15:09:18.000,0.0,19.25,19.25,0.0,2.61
15:09:18.161,0.0,19.25,19.25,0.0,2.58
15:09:18.471,0.0,19.25,19.25,0.33,2.46
15:09:18.611,0.0,19.25,19.25,0.44,1.56
15:09:18.735,0.0,19.25,19.25,0.0,1.13
15:09:18.881,0.0,19.25,19.25,0.33,0.96
15:09:19.041,0.0,19.25,19.25,0.44,0.83
15:09:19.368,0.0,19.5,19.25,0.44,0.83
15:09:19.807,0.0,19.5,19.25,0.0,0.82
15:09:20.112,0.0,19.5,19.25,0.11,0.75
15:09:20.439,0.0,19.75,20.25,0.11,0.75
15:09:20.600,0.0,19.75,20.25,0.0,0.75
15:09:20.741,0.0,19.75,20.0,0.0,0.75
15:09:20.861,0.0,19.75,20.0,0.0,0.74
15:09:21.151,0.0,19.75,20.0,0.11,0.75
15:09:21.463,0.0,19.75,20.0,0.44,0.74
15:09:21.581,0.0,19.75,20.0,0.22,0.76
15:09:21.878,0.0,19.75,20.0,0.11,0.76
15:09:22.106,0.0,19.75,20.0,0.0,0.8
15:09:22.290,0.0,20.0,20.75,0.0,0.8
15:09:22.337,0.0,20.0,20.75,0.0,0.8
15:09:22.467,0.0,20.0,20.75,0.66,0.99
15:09:22.528,0.0,20.0,20.75,0.0,1.03
15:09:22.561,0.0,20.0,20.75,0.44,1.04
15:09:22.695,0.0,20.0,20.75,0.0,1.13
15:09:22.765,0.0,20.0,20.75,0.0,1.1
